feature_1,feature_2,correlation,absolute_correlation
humidity,ph,-0.008482538638190033,0.008482538638190033
temperature,ph,-0.01779501709456252,0.01779501709456252
N,temperature,0.026503796219081235,0.026503796219081235
temperature,rainfall,-0.030083780898041278,0.030083780898041278
K,rainfall,-0.05346135449256889,0.05346135449256889
N,rainfall,0.05902022369254324,0.05902022369254324
P,rainfall,-0.063839051330259,0.063839051330259
humidity,rainfall,0.09442305334855393,0.09442305334855393
N,ph,0.09668284622242848,0.09668284622242848
ph,rainfall,-0.1090694837028321,0.1090694837028321
P,humidity,-0.11873411647954892,0.11873411647954892
P,temperature,-0.12754112864533876,0.12754112864533876
P,ph,-0.13801889348863647,0.13801889348863647
N,K,-0.14051183844915763,0.14051183844915763
K,temperature,-0.16038713278089597,0.16038713278089597
K,ph,-0.16950309817325426,0.16950309817325426
N,humidity,0.19068837919787315,0.19068837919787315
K,humidity,0.1908588608364631,0.1908588608364631
temperature,humidity,0.2053196766307067,0.2053196766307067
N,P,-0.23145957738457262,0.23145957738457262
P,K,0.736232217244661,0.736232217244661
