k,wcss,silhouette_score
2,5305.921780004267,0.5720877432687691
3,3621.5053792576614,0.36653121397260996
4,2551.0994792589145,0.38257627192816335
5,2218.5285453102297,0.3647096120866162
6,1916.714955383044,0.34284372224002396
7,1653.8336540494122,0.34785188601106926
8,1494.3770777220902,0.34665273045113304
9,1358.0768074901673,0.34869610329040235
10,1225.2908561386996,0.35183103293510515
11,1122.7666251556127,0.36008655568761694
12,1032.9669683640489,0.3659257576764387
13,972.2920010800093,0.3604637144013626
14,917.0565450768661,0.36661745188316974
